ticker,earnings_date,reaction_1day,reaction_3day,surprise_pct,hedging_pct,forward_looking_pct,readability_score,sentiment_score,market_reaction_1day,market_reaction_3day
AAPL,2024-08-01,0.69,-5.1,4.36,0.458,0.773,55.26121926008926,0.3152,-1.84,-3.79
AAPL,2024-05-02,5.98,5.42,2.05,0.582,0.732,56.99556330681361,0.1234,1.26,2.44
AAPL,2024-02-01,-0.54,1.31,3.55,0.435,0.579,55.41563707227997,0.194,1.07,0.98
AAPL,2023-11-02,-0.52,2.39,4.93,0.483,0.851,57.45682966964648,0.0862,0.94,1.4
AAPL,2023-08-03,-4.8,-5.95,5.66,0.557,0.665,58.36250463528444,0.125,-0.53,-0.06
AAPL,2023-05-04,4.69,3.61,6.37,0.542,0.596,57.04490077161827,-0.07,1.85,1.43
AAPL,2023-02-02,2.44,2.54,-3.78,0.414,0.691,57.97008743482891,-0.004,-1.04,-0.38
AAPL,2022-10-27,7.56,4.04,1.44,0.565,0.523,58.51904627878287,0.1805,2.46,1.28
AAPL,2022-07-28,3.28,1.69,3.93,0.773,0.787,57.35247445120828,-0.048,1.42,0.46
AAPL,2022-04-28,-3.66,-2.54,6.48,0.685,0.618,58.84580695305951,0.2055,-3.63,-2.61
AAPL,2022-01-27,6.98,9.67,11.2,0.697,0.537,60.40522930637511,0.1973,2.43,5.09
AAPL,2021-10-28,-1.82,-1.67,0.17,0.503,0.697,60.20949844580832,0.2576,0.19,0.74
AAPL,2021-07-27,-1.22,-0.62,28.56,0.595,0.595,59.19184775318581,0.138,-0.02,-0.14
AAPL,2021-04-28,-0.07,-0.78,42.16,0.427,0.673,60.04026349984792,0.2655,0.68,0.23
AAPL,2021-01-27,-3.5,-5.58,18.67,0.627,0.483,60.148122216563024,0.2562,0.98,0.62
AAPL,2020-10-29,-5.6,-4.23,4.5,0.471,0.688,59.06813456297408,0.2793,-1.21,1.78
AAPL,2020-07-30,10.47,14.01,24.45,0.615,0.782,57.54422309107037,0.302,0.77,1.86
MSFT,2024-10-30,-6.05,-5.56,6.13,0.608,1.053,50.05198062229709,0.0449,-1.86,-1.74
MSFT,2024-07-30,-1.08,-3.41,0.23,0.672,0.969,47.93063942402674,0.1488,1.58,-1.65
MSFT,2024-04-25,1.82,-2.43,3.4,0.729,0.828,49.6285447772959,0.212,1.02,-0.25
MSFT,2024-01-30,-2.69,0.64,5.83,0.618,1.109,46.30845511773808,0.2773,-1.61,0.68
MSFT,2023-10-24,3.07,-0.22,12.85,0.69,1.062,51.68938414681364,0.1818,-1.43,-3.07
MSFT,2023-07-25,-3.76,-3.59,5.59,0.893,1.241,49.66500398415053,-0.0331,-0.02,0.32
